date,HPG,TCB,FPT,PNJ,FRT,MWG,MBB,VNINDEX,W,D,E1,E0,DR,DR(VNI),CR,Sharpe,MaxDrawdown,YR
15/04/2026,28050.0,31850.0,75100.0,109200.0,151000.0,80000.0,26600.0,1800.65,0.0,0.0,28935000.0,29485000.0,-0.01865355265389181,0.014079351223495573,1.4187042271968524,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
14/04/2026,28550.0,32050.0,76200.0,109500.0,150500.0,81600.0,26700.0,1775.65,0.0,0.0,29485000.0,29110000.0,0.01288217107523188,0.00948856142265897,1.4646792513875648,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
13/04/2026,27800.0,31900.0,76000.0,110000.0,149000.0,81300.0,26450.0,1758.96,0.0,0.0,29110000.0,29735000.0,-0.021019001177064067,0.005120000000000013,1.4333326439848064,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
10/04/2026,28000.0,32250.0,77700.0,109000.0,152000.0,81500.0,26700.0,1750.0,0.0,0.0,29735000.0,29880000.0,-0.0048527443105756355,0.007669806757721664,1.4855769896560709,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
09/04/2026,28250.0,30900.0,78300.0,110000.0,150000.0,80700.0,26500.0,1736.68,0.0,0.0,29880000.0,30000000.0,-0.004,-0.011311946713728593,1.497697677851804,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
08/04/2026,28000.0,30700.0,79100.0,107000.0,153100.0,81900.0,26600.0,1756.55,0.0,0.0,30000000.0,27790000.0,0.07952500899604174,0.04709872789918568,1.507728592220687,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
07/04/2026,26800.0,28700.0,74000.0,100000.0,149500.0,78000.0,25600.0,1677.54,0.0,0.0,27790000.0,27815000.0,-0.0008987956138774043,0.0015223971486397758,1.3229925859270963,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
06/04/2026,26850.0,29050.0,73900.0,104600.0,148000.0,78300.0,25650.0,1674.99,0.0,0.0,27815000.0,27835000.0,-0.0007185198491108317,-0.005373981615638512,1.3250823597539467,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
03/04/2026,26650.0,29750.0,74000.0,108800.0,152000.0,79300.0,25950.0,1684.04,0.0,0.0,27835000.0,28385000.0,-0.019376431213669193,-0.006360557463329419,1.3267541788154271,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
02/04/2026,27350.0,30350.0,74700.0,108900.0,154000.0,81800.0,26300.0,1694.82,0.0,0.0,28385000.0,28530000.0,-0.005082369435681739,-0.004762380133064847,1.3727292030061395,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
01/04/2026,27150.0,30800.0,75300.0,109300.0,157000.0,82400.0,26500.0,1702.93,0.0,0.0,28530000.0,28240000.0,0.010269121813031162,0.016984275809351024,1.3848498912018727,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
31/03/2026,26900.0,30700.0,74700.0,108000.0,157000.0,81800.0,26450.0,1674.49,0.0,0.0,28240000.0,28010000.0,0.008211353088182792,0.0071877969853357815,1.3606085148104063,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
30/03/2026,26900.0,30500.0,74000.0,108000.0,158000.0,80800.0,25750.0,1662.54,0.0,0.0,28010000.0,28495000.0,-0.017020529917529392,-0.00613342898134861,1.3413825956033807,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
27/03/2026,26500.0,30650.0,76100.0,109900.0,162500.0,81000.0,26150.0,1672.8,0.0,8000000.0,28495000.0,19635000.0,0.031119956576804778,0.01712847266558426,1.381924207844282,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
26/03/2026,25900.0,30150.0,74200.0,106000.0,158000.0,78500.0,25800.0,1644.63,0.0,0.0,19635000.0,20720000.0,-0.052364864864864864,-0.008177591228990644,1.3100359882006223,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
25/03/2026,26350.0,30800.0,77000.0,111000.0,158600.0,79200.0,26000.0,1658.19,0.0,0.0,20720000.0,19985000.0,0.03677758318739054,0.02688927834923871,1.437685035676949,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
24/03/2026,25950.0,29850.0,75400.0,108500.0,158000.0,76000.0,25600.0,1614.77,0.0,0.0,19985000.0,19020000.0,0.05073606729758149,0.014831853290345975,1.35121310028976,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
